DataHora;Satelite;Pais;Estado;Municipi;Bioma;DiaSemCh;Precipit;RiscoFog;Latitude;Longitud;AreaIndu;FRP
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;CAROLINA;Cerrado;7;0;1;"-7,229";"-47,634";;34.7
2019/09/08 16:20:00;AQUA_M-T;Brasil;BAHIA;FORMOSA DO RIO PRETO;Cerrado;114;0;1;"-10,774";"-46,16";;44.7
2019/09/08 16:20:00;AQUA_M-T;Brasil;PERNAMBUCO;EXU;Caatinga;58;0;1;"-7,621";"-39,695";;15.1
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BARRA DO CORDA;Cerrado;100;0;1;"-5,55";"-45,469";;47.6
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;MARCOS PARENTE;Cerrado;62;0;1;"-7,21";"-43,986";;32.3
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;MANOEL EMIDIO;Cerrado;62;0;1;"-8,292";"-43,999";;148.3
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;SAO RAIMUNDO DAS MANGABEIRAS;Cerrado;62;0;1;"-6,92";"-45,88";;30.3
2019/09/08 16:20:00;AQUA_M-T;Brasil;PERNAMBUCO;EXU;Caatinga;82;0;1;"-7,622";"-39,704";;6.8
2019/09/08 16:20:00;AQUA_M-T;Brasil;PERNAMBUCO;DORMENTES;Caatinga;114;0;1;"-8,587";"-40,652";;20
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;INHUMA;Caatinga;63;0;1;"-6,731";"-41,501";;53.1
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;FLORIANO;Cerrado;22;0;1;"-6,782";"-43,103";;25.2
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;RIACHAO;Cerrado;62;0;1;"-7,637";"-46,786";;373.2
2019/09/08 16:20:00;AQUA_M-T;Brasil;TOCANTINS;NATIVIDADE;Cerrado;107;0;1;"-12,018";"-47,767";;73.8
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;BAIXA GRANDE DO RIBEIRO;Cerrado;62;0;1;"-7,976";"-44,959";;23
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;SAMBAIBA;Cerrado;62;0;1;"-7,105";"-45,285";;25.7
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;SEBASTIAO LEAL;Caatinga;62;0;1;"-7,44";"-43,734";;61.9
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;NOVA IORQUE;Cerrado;61;0;1;"-6,785";"-44,094";;14.5
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;AMARANTE;Caatinga;63;0;1;"-6,405";"-42,658";;36
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BARRA DO CORDA;Cerrado;60;0;1;"-5,643";"-45,393";;50.6
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;MARCOS PARENTE;Cerrado;62;0;1;"-7,208";"-43,98";;32
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;SAO FELIX DE BALSAS;Cerrado;62;0;1;"-7,344";"-44,946";;35.6
2019/09/08 16:20:00;AQUA_M-T;Brasil;TOCANTINS;MAURILANDIA DO TOCANTINS;Cerrado;62;0;1;"-6,147";"-47,665";;37.7
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BENEDITO LEITE;Cerrado;61;0;1;"-6,965";"-44,348";;11.9
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BARRA DO CORDA;Cerrado;22;0;1;"-5,612";"-45,172";;98.3
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;JARDIM DO MULATO;Caatinga;4;0;1;"-6,098";"-42,616";;11.9
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;SAO PEDRO DO PIAUI;Caatinga;4;0;1;"-6,007";"-42,754";;32.7
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;MIRADOR;Cerrado;22;0;1;"-6,363";"-44,486";;14.2
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;MIRADOR;Cerrado;62;0;1;"-6,657";"-45,18";;36.3
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;SUCUPIRA DO RIACHAO;Caatinga;22;0;1;"-6,546";"-43,468";;11.2
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;SAO JOSE DO PIAUI;Caatinga;62;0;1;"-6,892";"-41,54";;481.4
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;MIRADOR;Cerrado;62;0;1;"-6,642";"-45,239";;72.8
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BARAO DE GRAJAU;Caatinga;62;0;1;"-6,574";"-43,377";;19.1
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;AMARANTE;Caatinga;63;0;1;"-6,419";"-42,626";;24.8
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;ANTONIO ALMEIDA;Cerrado;62;0;1;"-7,168";"-44,139";;34.8
2019/09/08 16:20:00;AQUA_M-T;Brasil;PERNAMBUCO;DORMENTES;Caatinga;114;0;1;"-8,589";"-40,661";;8.7
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;JENIPAPO DOS VIEIRAS;Cerrado;60;0;1;"-5,553";"-45,66";;60.5
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;GUADALUPE;Cerrado;62;0;1;"-6,751";"-43,768";;11.9
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;SAO RAIMUNDO DAS MANGABEIRAS;Cerrado;62;0;1;"-6,964";"-45,522";;36.3
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;MARCOS PARENTE;Cerrado;62;0;1;"-7,205";"-44,023";;11.1
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;SANTA FILOMENA;Cerrado;114;0;1;"-9,13";"-45,83";;19.1
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BARRA DO CORDA;Cerrado;22;0;1;"-5,718";"-45,173";;21.4
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;CAMPESTRE DO MARANHAO;Cerrado;62;0;1;"-6,246";"-47,308";;151.3
2019/09/08 16:20:00;AQUA_M-T;Brasil;TOCANTINS;PONTE ALTA DO TOCANTINS;Cerrado;108;0;1;"-11,026";"-47,172";;47
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;PALMEIRA DO PIAUI;Cerrado;63;0;1;"-8,483";"-44,641";;25.7
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;BELEM DO PIAUI;Caatinga;82;0;1;"-7,361";"-41,018";;10.8
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;AMARANTE;Caatinga;63;0;1;"-6,403";"-42,648";;24.4
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;LAGOA DO MATO;Cerrado;62;0;1;"-6,217";"-43,528";;17.3
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;GILBUES;Cerrado;114;0;1;"-9,697";"-45,791";;32.7
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;CURRAIS;Cerrado;62;0;1;"-8,52";"-44,829";;190.5
2019/09/08 16:20:00;AQUA_M-T;Brasil;CEARA;CEDRO;Caatinga;82;0;1;"-6,579";"-39,23";;17.2
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BURITI BRAVO;Cerrado;22;0;1;"-5,807";"-43,874";;69.2
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;SAO JOAO DOS PATOS;Cerrado;22;0;1;"-6,723";"-43,488";;15.3
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;SAO JOSE DO PIAUI;Caatinga;63;0;1;"-6,737";"-41,481";;21.7
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;INHUMA;Caatinga;63;0;1;"-6,722";"-41,502";;22.9
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;SAO GONCALO DO GURGUEIA;Cerrado;61;0;1;"-10,031";"-45,547";;18.8
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;BAIXA GRANDE DO RIBEIRO;Cerrado;82;0;1;"-8,947";"-45,459";;29.8
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BARRA DO CORDA;Cerrado;22;0;1;"-5,731";"-45,375";;39.3
2019/09/08 16:20:00;AQUA_M-T;Brasil;CEARA;CEDRO;Caatinga;82;0;1;"-6,568";"-39,222";;19.4
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;SAO JOSE DO PIAUI;Caatinga;63;0;1;"-6,728";"-41,483";;20.1
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BARRA DO CORDA;Cerrado;22;0;1;"-5,758";"-45,223";;27.1
2019/09/08 16:20:00;AQUA_M-T;Brasil;TOCANTINS;NATIVIDADE;Cerrado;107;0;1;"-11,986";"-47,748";;58.3
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;COLINAS;Cerrado;22;0;1;"-6,117";"-44,049";;82.4
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BENEDITO LEITE;Cerrado;61;0;1;"-6,954";"-44,349";;22.7
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;GILBUES;Cerrado;114;0;1;"-9,752";"-45,603";;26.5
2019/09/08 16:20:00;AQUA_M-T;Brasil;TOCANTINS;GOIATINS;Cerrado;62;0;1;"-7,698";"-47,359";;41.9
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;TUNTUM;Cerrado;60;0;1;"-5,676";"-44,902";;127.7
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;MATOES;Cerrado;100;0;1;"-5,5";"-43,274";;26.2
