"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil, Município, Mesorregião Geográfica e Microrregião Geográfica";"Ano";""
"Brasil";"2002";"1488787276,0"
"Brasil";"2003";"1717950386,1"
"Brasil";"2004";"1957751224,0"
"Brasil";"2005";"2170584503,0"
"Brasil";"2006";"2409449916,0"
"Brasil";"2007";"2720262950,9"
"Brasil";"2008";"3109803097,0"
"Brasil";"2009";"3333039339,0"
"Brasil";"2010";"3885847000,0"
"Brasil";"2011";"4376382000,0"
"Brasil";"2012";"4814760000,0"
"Brasil";"2013";"5331618956,6"
"Brasil";"2014";"5778952780,0"
"Brasil";"2015";"5995787000,0"
"Brasil";"2016";"6267205000,0"
"Alta Floresta D'Oeste (RO)";"2002";"111291,0"
"Alta Floresta D'Oeste (RO)";"2003";"143222,4"
"Alta Floresta D'Oeste (RO)";"2004";"173990,8"
"Alta Floresta D'Oeste (RO)";"2005";"167127,4"
"Alta Floresta D'Oeste (RO)";"2006";"168805,1"
"Alta Floresta D'Oeste (RO)";"2007";"191364,3"
"Alta Floresta D'Oeste (RO)";"2008";"248961,8"
"Alta Floresta D'Oeste (RO)";"2009";"256986,1"
"Alta Floresta D'Oeste (RO)";"2010";"262076,9"
"Alta Floresta D'Oeste (RO)";"2011";"280509,6"
"Alta Floresta D'Oeste (RO)";"2012";"329029,5"
"Alta Floresta D'Oeste (RO)";"2013";"341324,7"
"Alta Floresta D'Oeste (RO)";"2014";"377799,0"
"Alta Floresta D'Oeste (RO)";"2015";"421300,0"
"Alta Floresta D'Oeste (RO)";"2016";"477782,7"
"Ariquemes (RO)";"2002";"449592,8"
"Ariquemes (RO)";"2003";"539636,2"
"Ariquemes (RO)";"2004";"657193,2"
"Ariquemes (RO)";"2005";"749021,2"
"Ariquemes (RO)";"2006";"790696,6"
"Ariquemes (RO)";"2007";"905202,6"
"Ariquemes (RO)";"2008";"1064822,0"
"Ariquemes (RO)";"2009";"1133094,9"
"Ariquemes (RO)";"2010";"1364693,8"
"Ariquemes (RO)";"2011";"1651885,0"
"Ariquemes (RO)";"2012";"1703641,9"
"Ariquemes (RO)";"2013";"1799852,5"
"Ariquemes (RO)";"2014";"1921531,6"
"Ariquemes (RO)";"2015";"2037798,6"
"Ariquemes (RO)";"2016";"2183383,2"
"Cabixi (RO)";"2002";"31767,5"
"Cabixi (RO)";"2003";"40984,6"
"Cabixi (RO)";"2004";"43392,5"
"Cabixi (RO)";"2005";"49129,6"
"Cabixi (RO)";"2006";"46883,8"
"Cabixi (RO)";"2007";"49165,8"
"Cabixi (RO)";"2008";"60587,7"
"Cabixi (RO)";"2009";"69776,0"
"Cabixi (RO)";"2010";"69611,1"
"Cabixi (RO)";"2011";"77217,2"
"Cabixi (RO)";"2012";"99586,5"
"Cabixi (RO)";"2013";"96364,5"
"Cabixi (RO)";"2014";"113477,4"
"Cabixi (RO)";"2015";"116565,2"
"Cabixi (RO)";"2016";"133345,4"
"Cacoal (RO)";"2002";"474443,1"
"Cacoal (RO)";"2003";"622437,2"
"Cacoal (RO)";"2004";"622414,6"
"Cacoal (RO)";"2005";"758959,6"
"Cacoal (RO)";"2006";"743193,7"
"Cacoal (RO)";"2007";"814890,3"
"Cacoal (RO)";"2008";"928698,7"
"Cacoal (RO)";"2009";"985478,8"
"Cacoal (RO)";"2010";"1186494,1"
"Cacoal (RO)";"2011";"1259024,3"
"Cacoal (RO)";"2012";"1372705,1"
"Cacoal (RO)";"2013";"1433253,5"
"Cacoal (RO)";"2014";"1660649,6"
"Cacoal (RO)";"2015";"1794477,5"
"Cacoal (RO)";"2016";"1944786,6"
"Cerejeiras (RO)";"2002";"79173,6"
"Cerejeiras (RO)";"2003";"99983,4"
"Cerejeiras (RO)";"2004";"121365,7"
"Cerejeiras (RO)";"2005";"129107,0"
"Cerejeiras (RO)";"2006";"124415,0"
"Cerejeiras (RO)";"2007";"143269,9"
"Cerejeiras (RO)";"2008";"167474,3"
"Cerejeiras (RO)";"2009";"190902,1"
"Cerejeiras (RO)";"2010";"222021,2"
"Cerejeiras (RO)";"2011";"260142,1"
"Cerejeiras (RO)";"2012";"357333,0"
"Cerejeiras (RO)";"2013";"353269,7"
"Cerejeiras (RO)";"2014";"392416,8"
"Cerejeiras (RO)";"2015";"397736,1"
"Cerejeiras (RO)";"2016";"408047,8"
"Colorado do Oeste (RO)";"2002";"87253,6"
"Colorado do Oeste (RO)";"2003";"103362,9"
"Colorado do Oeste (RO)";"2004";"114815,1"
"Colorado do Oeste (RO)";"2005";"126533,7"
"Colorado do Oeste (RO)";"2006";"126669,5"
"Colorado do Oeste (RO)";"2007";"137898,9"
"Colorado do Oeste (RO)";"2008";"157025,6"
"Colorado do Oeste (RO)";"2009";"174168,0"
"Colorado do Oeste (RO)";"2010";"193092,6"
"Colorado do Oeste (RO)";"2011";"206425,2"
"Colorado do Oeste (RO)";"2012";"222070,7"
"Colorado do Oeste (RO)";"2013";"242767,2"
"Colorado do Oeste (RO)";"2014";"273758,6"
"Colorado do Oeste (RO)";"2015";"285372,1"
"Colorado do Oeste (RO)";"2016";"305876,2"
"Corumbiara (RO)";"2002";"45164,8"
"Corumbiara (RO)";"2003";"57283,8"
"Corumbiara (RO)";"2004";"67309,2"
"Corumbiara (RO)";"2005";"70936,3"
"Corumbiara (RO)";"2006";"68935,3"
"Corumbiara (RO)";"2007";"72291,3"
"Corumbiara (RO)";"2008";"95990,2"
"Corumbiara (RO)";"2009";"119226,0"
"Corumbiara (RO)";"2010";"114768,3"
"Corumbiara (RO)";"2011";"145412,1"
"Corumbiara (RO)";"2012";"175872,5"
"Corumbiara (RO)";"2013";"168680,6"
"Corumbiara (RO)";"2014";"186868,0"
"Corumbiara (RO)";"2015";"190905,8"
"Corumbiara (RO)";"2016";"236578,2"
"Costa Marques (RO)";"2002";"37308,4"
"Costa Marques (RO)";"2003";"50995,7"
"Costa Marques (RO)";"2004";"53904,5"
"Costa Marques (RO)";"2005";"62986,5"
"Costa Marques (RO)";"2006";"60811,8"
"Costa Marques (RO)";"2007";"74214,6"
"Costa Marques (RO)";"2008";"90970,6"
"Costa Marques (RO)";"2009";"99853,6"
"Costa Marques (RO)";"2010";"107583,1"
"Costa Marques (RO)";"2011";"120018,0"
"Costa Marques (RO)";"2012";"134090,8"
"Costa Marques (RO)";"2013";"149738,8"
"Costa Marques (RO)";"2014";"168604,5"
"Costa Marques (RO)";"2015";"187170,1"
"Costa Marques (RO)";"2016";"206123,2"
"Espigão D'Oeste (RO)";"2002";"119311,5"
"Espigão D'Oeste (RO)";"2003";"153424,6"
"Espigão D'Oeste (RO)";"2004";"180675,6"
"Espigão D'Oeste (RO)";"2005";"203256,9"
"Espigão D'Oeste (RO)";"2006";"195271,1"
"Espigão D'Oeste (RO)";"2007";"220451,9"
"Espigão D'Oeste (RO)";"2008";"265615,9"
"Espigão D'Oeste (RO)";"2009";"291490,6"
"Espigão D'Oeste (RO)";"2010";"311787,8"
"Espigão D'Oeste (RO)";"2011";"347581,1"
"Espigão D'Oeste (RO)";"2012";"376177,4"
"Espigão D'Oeste (RO)";"2013";"426546,2"
"Espigão D'Oeste (RO)";"2014";"462389,4"
"Espigão D'Oeste (RO)";"2015";"483961,5"
"Espigão D'Oeste (RO)";"2016";"544663,7"
"Guajará-Mirim (RO)";"2002";"174680,5"
"Guajará-Mirim (RO)";"2003";"247248,3"
"Guajará-Mirim (RO)";"2004";"302287,2"
"Guajará-Mirim (RO)";"2005";"327643,4"
"Guajará-Mirim (RO)";"2006";"325665,3"
"Guajará-Mirim (RO)";"2007";"374116,2"
"Guajará-Mirim (RO)";"2008";"491320,3"
"Guajará-Mirim (RO)";"2009";"521103,6"
"Guajará-Mirim (RO)";"2010";"598167,1"
"Guajará-Mirim (RO)";"2011";"715386,1"
"Guajará-Mirim (RO)";"2012";"516171,5"
"Guajará-Mirim (RO)";"2013";"605130,8"
"Guajará-Mirim (RO)";"2014";"646153,6"
"Guajará-Mirim (RO)";"2015";"682458,0"
"Guajará-Mirim (RO)";"2016";"740159,7"
"Jaru (RO)";"2002";"306157,6"
"Jaru (RO)";"2003";"385506,6"
"Jaru (RO)";"2004";"420125,8"
"Jaru (RO)";"2005";"569682,3"
"Jaru (RO)";"2006";"614007,6"
"Jaru (RO)";"2007";"693761,9"
"Jaru (RO)";"2008";"708837,4"
"Jaru (RO)";"2009";"722047,3"
"Jaru (RO)";"2010";"797296,4"
"Jaru (RO)";"2011";"861622,7"
"Jaru (RO)";"2012";"1004963,8"
"Jaru (RO)";"2013";"1070429,4"
"Jaru (RO)";"2014";"1130660,5"
"Jaru (RO)";"2015";"1207965,1"
"Jaru (RO)";"2016";"1311875,4"
"Ji-Paraná (RO)";"2002";"657399,9"
"Ji-Paraná (RO)";"2003";"774034,6"
"Ji-Paraná (RO)";"2004";"933474,1"
"Ji-Paraná (RO)";"2005";"1066022,1"
"Ji-Paraná (RO)";"2006";"1110408,7"
"Ji-Paraná (RO)";"2007";"1257349,9"
"Ji-Paraná (RO)";"2008";"1496175,5"
"Ji-Paraná (RO)";"2009";"1640343,9"
"Ji-Paraná (RO)";"2010";"1855358,7"
"Ji-Paraná (RO)";"2011";"2056220,4"
"Ji-Paraná (RO)";"2012";"2318728,5"
"Ji-Paraná (RO)";"2013";"2374800,6"
"Ji-Paraná (RO)";"2014";"2651245,7"
"Ji-Paraná (RO)";"2015";"2755754,8"
"Ji-Paraná (RO)";"2016";"2991592,2"
"Machadinho D'Oeste (RO)";"2002";"83828,4"
"Machadinho D'Oeste (RO)";"2003";"129475,7"
"Machadinho D'Oeste (RO)";"2004";"156742,9"
"Machadinho D'Oeste (RO)";"2005";"186677,6"
"Machadinho D'Oeste (RO)";"2006";"167420,7"
"Machadinho D'Oeste (RO)";"2007";"183665,6"
"Machadinho D'Oeste (RO)";"2008";"234493,7"
"Machadinho D'Oeste (RO)";"2009";"254438,4"
"Machadinho D'Oeste (RO)";"2010";"272200,9"
"Machadinho D'Oeste (RO)";"2011";"301792,4"
"Machadinho D'Oeste (RO)";"2012";"353071,0"
"Machadinho D'Oeste (RO)";"2013";"396658,4"
"Machadinho D'Oeste (RO)";"2014";"424790,5"
"Machadinho D'Oeste (RO)";"2015";"451940,0"
"Machadinho D'Oeste (RO)";"2016";"512539,5"
"Nova Brasilândia D'Oeste (RO)";"2002";"65740,1"
"Nova Brasilândia D'Oeste (RO)";"2003";"89820,7"
"Nova Brasilândia D'Oeste (RO)";"2004";"90568,8"
"Nova Brasilândia D'Oeste (RO)";"2005";"109278,5"
"Nova Brasilândia D'Oeste (RO)";"2006";"108174,5"
"Nova Brasilândia D'Oeste (RO)";"2007";"139569,3"
"Nova Brasilândia D'Oeste (RO)";"2008";"167221,2"
"Nova Brasilândia D'Oeste (RO)";"2009";"164380,5"
"Nova Brasilândia D'Oeste (RO)";"2010";"173651,3"
"Nova Brasilândia D'Oeste (RO)";"2011";"188992,2"
"Nova Brasilândia D'Oeste (RO)";"2012";"215981,7"
"Nova Brasilândia D'Oeste (RO)";"2013";"230676,4"
"Nova Brasilândia D'Oeste (RO)";"2014";"257254,9"
"Nova Brasilândia D'Oeste (RO)";"2015";"272574,3"
"Nova Brasilândia D'Oeste (RO)";"2016";"307693,5"
"Ouro Preto do Oeste (RO)";"2002";"191704,4"
"Ouro Preto do Oeste (RO)";"2003";"243121,1"
"Ouro Preto do Oeste (RO)";"2004";"264994,5"
"Ouro Preto do Oeste (RO)";"2005";"289681,7"
"Ouro Preto do Oeste (RO)";"2006";"289191,7"
"Ouro Preto do Oeste (RO)";"2007";"319106,6"
"Ouro Preto do Oeste (RO)";"2008";"400930,6"
"Ouro Preto do Oeste (RO)";"2009";"399690,2"
"Ouro Preto do Oeste (RO)";"2010";"477501,3"
"Ouro Preto do Oeste (RO)";"2011";"507789,7"
"Ouro Preto do Oeste (RO)";"2012";"527990,2"
"Ouro Preto do Oeste (RO)";"2013";"556443,4"
"Ouro Preto do Oeste (RO)";"2014";"600734,4"
"Ouro Preto do Oeste (RO)";"2015";"633049,7"
"Ouro Preto do Oeste (RO)";"2016";"708914,8"
"Pimenta Bueno (RO)";"2002";"180336,9"
"Pimenta Bueno (RO)";"2003";"227003,6"
"Pimenta Bueno (RO)";"2004";"264272,8"
"Pimenta Bueno (RO)";"2005";"308138,5"
"Pimenta Bueno (RO)";"2006";"311875,9"
"Pimenta Bueno (RO)";"2007";"336934,2"
"Pimenta Bueno (RO)";"2008";"419977,9"
"Pimenta Bueno (RO)";"2009";"471876,2"
"Pimenta Bueno (RO)";"2010";"540861,6"
"Pimenta Bueno (RO)";"2011";"602732,2"
"Pimenta Bueno (RO)";"2012";"687732,4"
"Pimenta Bueno (RO)";"2013";"755541,8"
"Pimenta Bueno (RO)";"2014";"837925,3"
"Pimenta Bueno (RO)";"2015";"906442,5"
"Pimenta Bueno (RO)";"2016";"1001086,5"
"Porto Velho (RO)";"2002";"2325673,1"
"Porto Velho (RO)";"2003";"2765053,8"
"Porto Velho (RO)";"2004";"3388128,1"
"Porto Velho (RO)";"2005";"3801042,1"
"Porto Velho (RO)";"2006";"4093384,5"
"Porto Velho (RO)";"2007";"4474811,5"
"Porto Velho (RO)";"2008";"5267601,8"
"Porto Velho (RO)";"2009";"6841953,5"
"Porto Velho (RO)";"2010";"9093823,8"
"Porto Velho (RO)";"2011";"11139255,0"
"Porto Velho (RO)";"2012";"11970876,7"
"Porto Velho (RO)";"2013";"11699707,0"
"Porto Velho (RO)";"2014";"12793026,0"
"Porto Velho (RO)";"2015";"13970352,4"
"Porto Velho (RO)";"2016";"14741744,1"
"Presidente Médici (RO)";"2002";"93482,3"
"Presidente Médici (RO)";"2003";"117213,1"
"Presidente Médici (RO)";"2004";"130512,6"
"Presidente Médici (RO)";"2005";"146978,9"
"Presidente Médici (RO)";"2006";"151891,3"
"Presidente Médici (RO)";"2007";"159519,5"
"Presidente Médici (RO)";"2008";"196550,2"
"Presidente Médici (RO)";"2009";"216194,3"
"Presidente Médici (RO)";"2010";"235588,9"
"Presidente Médici (RO)";"2011";"250510,1"
"Presidente Médici (RO)";"2012";"278269,3"
"Presidente Médici (RO)";"2013";"292636,2"
"Presidente Médici (RO)";"2014";"334712,6"
"Presidente Médici (RO)";"2015";"359302,4"
"Presidente Médici (RO)";"2016";"388233,2"
"Rio Crespo (RO)";"2002";"15549,4"
"Rio Crespo (RO)";"2003";"21178,7"
"Rio Crespo (RO)";"2004";"22353,1"
"Rio Crespo (RO)";"2005";"24700,1"
"Rio Crespo (RO)";"2006";"27237,1"
"Rio Crespo (RO)";"2007";"28671,6"
"Rio Crespo (RO)";"2008";"37219,8"
"Rio Crespo (RO)";"2009";"40075,3"
"Rio Crespo (RO)";"2010";"41934,0"
"Rio Crespo (RO)";"2011";"48229,8"
"Rio Crespo (RO)";"2012";"56105,8"
"Rio Crespo (RO)";"2013";"63731,9"
"Rio Crespo (RO)";"2014";"74697,9"
"Rio Crespo (RO)";"2015";"78522,1"
"Rio Crespo (RO)";"2016";"90544,3"
"Rolim de Moura (RO)";"2002";"231270,0"
"Rolim de Moura (RO)";"2003";"288223,0"
"Rolim de Moura (RO)";"2004";"334869,2"
"Rolim de Moura (RO)";"2005";"388188,2"
"Rolim de Moura (RO)";"2006";"407839,7"
"Rolim de Moura (RO)";"2007";"466023,2"
"Rolim de Moura (RO)";"2008";"590512,8"
"Rolim de Moura (RO)";"2009";"570998,4"
"Rolim de Moura (RO)";"2010";"627848,2"
"Rolim de Moura (RO)";"2011";"756305,0"
"Rolim de Moura (RO)";"2012";"845500,0"
"Rolim de Moura (RO)";"2013";"926089,4"
"Rolim de Moura (RO)";"2014";"1024962,3"
"Rolim de Moura (RO)";"2015";"1082400,1"
"Rolim de Moura (RO)";"2016";"1201504,1"
"Santa Luzia D'Oeste (RO)";"2002";"46044,6"
"Santa Luzia D'Oeste (RO)";"2003";"56920,5"
"Santa Luzia D'Oeste (RO)";"2004";"58188,7"
"Santa Luzia D'Oeste (RO)";"2005";"62508,4"
"Santa Luzia D'Oeste (RO)";"2006";"65968,5"
"Santa Luzia D'Oeste (RO)";"2007";"69960,6"
"Santa Luzia D'Oeste (RO)";"2008";"85683,2"
"Santa Luzia D'Oeste (RO)";"2009";"89831,6"
"Santa Luzia D'Oeste (RO)";"2010";"98818,3"
"Santa Luzia D'Oeste (RO)";"2011";"109366,2"
"Santa Luzia D'Oeste (RO)";"2012";"122449,0"
"Santa Luzia D'Oeste (RO)";"2013";"125661,7"
"Santa Luzia D'Oeste (RO)";"2014";"132905,9"
"Santa Luzia D'Oeste (RO)";"2015";"135948,5"
"Santa Luzia D'Oeste (RO)";"2016";"149203,1"
"Vilhena (RO)";"2002";"448260,3"
"Vilhena (RO)";"2003";"586620,8"
"Vilhena (RO)";"2004";"697750,4"
"Vilhena (RO)";"2005";"802054,1"
"Vilhena (RO)";"2006";"816424,5"
"Vilhena (RO)";"2007";"916060,6"
"Vilhena (RO)";"2008";"1148344,6"
"Vilhena (RO)";"2009";"1244988,4"
"Vilhena (RO)";"2010";"1447187,3"
"Vilhena (RO)";"2011";"1491477,3"
"Vilhena (RO)";"2012";"1797975,7"
"Vilhena (RO)";"2013";"2011515,1"
"Vilhena (RO)";"2014";"2124668,4"
"Vilhena (RO)";"2015";"2185474,7"
"Vilhena (RO)";"2016";"2420744,9"
"São Miguel do Guaporé (RO)";"2002";"73737,4"
"São Miguel do Guaporé (RO)";"2003";"108374,8"
"São Miguel do Guaporé (RO)";"2004";"127354,2"
"São Miguel do Guaporé (RO)";"2005";"137039,5"
"São Miguel do Guaporé (RO)";"2006";"147254,7"
"São Miguel do Guaporé (RO)";"2007";"158872,6"
"São Miguel do Guaporé (RO)";"2008";"192747,4"
"São Miguel do Guaporé (RO)";"2009";"234784,1"
"São Miguel do Guaporé (RO)";"2010";"324475,9"
"São Miguel do Guaporé (RO)";"2011";"311271,0"
"São Miguel do Guaporé (RO)";"2012";"333932,6"
"São Miguel do Guaporé (RO)";"2013";"395408,4"
"São Miguel do Guaporé (RO)";"2014";"411122,0"
"São Miguel do Guaporé (RO)";"2015";"454047,6"
"São Miguel do Guaporé (RO)";"2016";"514511,5"
"Nova Mamoré (RO)";"2002";"51341,3"
"Nova Mamoré (RO)";"2003";"69356,5"
"Nova Mamoré (RO)";"2004";"92732,3"
"Nova Mamoré (RO)";"2005";"113906,2"
"Nova Mamoré (RO)";"2006";"116144,2"
"Nova Mamoré (RO)";"2007";"134074,5"
"Nova Mamoré (RO)";"2008";"164807,2"
"Nova Mamoré (RO)";"2009";"183340,0"
"Nova Mamoré (RO)";"2010";"218431,2"
"Nova Mamoré (RO)";"2011";"249369,5"
"Nova Mamoré (RO)";"2012";"277775,0"
"Nova Mamoré (RO)";"2013";"308322,3"
"Nova Mamoré (RO)";"2014";"341402,3"
"Nova Mamoré (RO)";"2015";"379824,0"
"Nova Mamoré (RO)";"2016";"419494,2"
"Alvorada D'Oeste (RO)";"2002";"66869,0"
"Alvorada D'Oeste (RO)";"2003";"87455,0"
"Alvorada D'Oeste (RO)";"2004";"97390,6"
"Alvorada D'Oeste (RO)";"2005";"105142,0"
"Alvorada D'Oeste (RO)";"2006";"107850,6"
"Alvorada D'Oeste (RO)";"2007";"107459,5"
"Alvorada D'Oeste (RO)";"2008";"127592,7"
"Alvorada D'Oeste (RO)";"2009";"146945,1"
"Alvorada D'Oeste (RO)";"2010";"160688,8"
"Alvorada D'Oeste (RO)";"2011";"174574,3"
"Alvorada D'Oeste (RO)";"2012";"184426,6"
"Alvorada D'Oeste (RO)";"2013";"191137,6"
"Alvorada D'Oeste (RO)";"2014";"205518,2"
"Alvorada D'Oeste (RO)";"2015";"220490,9"
"Alvorada D'Oeste (RO)";"2016";"243560,1"
"Alto Alegre dos Parecis (RO)";"2002";"46139,2"
"Alto Alegre dos Parecis (RO)";"2003";"60614,6"
"Alto Alegre dos Parecis (RO)";"2004";"69090,6"
"Alto Alegre dos Parecis (RO)";"2005";"76378,6"
"Alto Alegre dos Parecis (RO)";"2006";"83328,6"
"Alto Alegre dos Parecis (RO)";"2007";"90565,7"
"Alto Alegre dos Parecis (RO)";"2008";"109773,4"
"Alto Alegre dos Parecis (RO)";"2009";"123304,9"
"Alto Alegre dos Parecis (RO)";"2010";"119974,0"
"Alto Alegre dos Parecis (RO)";"2011";"135691,2"
"Alto Alegre dos Parecis (RO)";"2012";"207365,4"
"Alto Alegre dos Parecis (RO)";"2013";"183210,2"
"Alto Alegre dos Parecis (RO)";"2014";"211213,6"
"Alto Alegre dos Parecis (RO)";"2015";"212357,0"
"Alto Alegre dos Parecis (RO)";"2016";"230030,1"
"Alto Paraíso (RO)";"2002";"45060,5"
"Alto Paraíso (RO)";"2003";"69210,5"
"Alto Paraíso (RO)";"2004";"75144,2"
"Alto Paraíso (RO)";"2005";"81283,0"
"Alto Paraíso (RO)";"2006";"88368,0"
"Alto Paraíso (RO)";"2007";"107257,6"
"Alto Paraíso (RO)";"2008";"132014,8"
"Alto Paraíso (RO)";"2009";"146985,5"
"Alto Paraíso (RO)";"2010";"152235,2"
"Alto Paraíso (RO)";"2011";"176664,0"
"Alto Paraíso (RO)";"2012";"205906,4"
"Alto Paraíso (RO)";"2013";"214063,9"
"Alto Paraíso (RO)";"2014";"233005,9"
"Alto Paraíso (RO)";"2015";"258221,9"
"Alto Paraíso (RO)";"2016";"287085,5"
"Buritis (RO)";"2002";"97946,3"
"Buritis (RO)";"2003";"137840,0"
"Buritis (RO)";"2004";"161804,5"
"Buritis (RO)";"2005";"193933,6"
"Buritis (RO)";"2006";"201021,4"
"Buritis (RO)";"2007";"225142,2"
"Buritis (RO)";"2008";"270880,0"
"Buritis (RO)";"2009";"290764,2"
"Buritis (RO)";"2010";"336264,9"
"Buritis (RO)";"2011";"380851,6"
"Buritis (RO)";"2012";"403805,1"
"Buritis (RO)";"2013";"427488,5"
"Buritis (RO)";"2014";"475961,0"
"Buritis (RO)";"2015";"519512,8"
"Buritis (RO)";"2016";"581510,1"
"Novo Horizonte do Oeste (RO)";"2002";"46575,0"
"Novo Horizonte do Oeste (RO)";"2003";"69626,4"
"Novo Horizonte do Oeste (RO)";"2004";"69496,9"
"Novo Horizonte do Oeste (RO)";"2005";"74462,3"
"Novo Horizonte do Oeste (RO)";"2006";"71334,5"
"Novo Horizonte do Oeste (RO)";"2007";"69106,3"
"Novo Horizonte do Oeste (RO)";"2008";"84764,0"
"Novo Horizonte do Oeste (RO)";"2009";"91842,7"
"Novo Horizonte do Oeste (RO)";"2010";"95420,1"
"Novo Horizonte do Oeste (RO)";"2011";"100845,9"
"Novo Horizonte do Oeste (RO)";"2012";"104873,3"
"Novo Horizonte do Oeste (RO)";"2013";"113699,9"
"Novo Horizonte do Oeste (RO)";"2014";"127667,5"
"Novo Horizonte do Oeste (RO)";"2015";"134272,5"
"Novo Horizonte do Oeste (RO)";"2016";"150298,0"
"Cacaulândia (RO)";"2002";"27706,8"
"Cacaulândia (RO)";"2003";"38297,7"
"Cacaulândia (RO)";"2004";"40030,9"
"Cacaulândia (RO)";"2005";"43479,3"
"Cacaulândia (RO)";"2006";"44557,4"
"Cacaulândia (RO)";"2007";"49655,1"
"Cacaulândia (RO)";"2008";"62609,2"
"Cacaulândia (RO)";"2009";"66827,4"
"Cacaulândia (RO)";"2010";"76700,8"
"Cacaulândia (RO)";"2011";"84262,3"
"Cacaulândia (RO)";"2012";"90741,6"
"Cacaulândia (RO)";"2013";"99010,6"
"Cacaulândia (RO)";"2014";"116988,3"
"Cacaulândia (RO)";"2015";"125343,7"
"Cacaulândia (RO)";"2016";"133966,5"
"Campo Novo de Rondônia (RO)";"2002";"34792,5"
"Campo Novo de Rondônia (RO)";"2003";"46229,4"
"Campo Novo de Rondônia (RO)";"2004";"53261,9"
"Campo Novo de Rondônia (RO)";"2005";"61275,5"
"Campo Novo de Rondônia (RO)";"2006";"70259,3"
"Campo Novo de Rondônia (RO)";"2007";"67676,3"
"Campo Novo de Rondônia (RO)";"2008";"90328,3"
"Campo Novo de Rondônia (RO)";"2009";"98734,0"
"Campo Novo de Rondônia (RO)";"2010";"120440,1"
"Campo Novo de Rondônia (RO)";"2011";"150582,3"
"Campo Novo de Rondônia (RO)";"2012";"156228,3"
"Campo Novo de Rondônia (RO)";"2013";"181407,9"
"Campo Novo de Rondônia (RO)";"2014";"203986,9"
"Campo Novo de Rondônia (RO)";"2015";"223211,5"
"Campo Novo de Rondônia (RO)";"2016";"221023,8"
"Candeias do Jamari (RO)";"2002";"61407,3"
"Candeias do Jamari (RO)";"2003";"71276,4"
"Candeias do Jamari (RO)";"2004";"93367,7"
"Candeias do Jamari (RO)";"2005";"102722,0"
"Candeias do Jamari (RO)";"2006";"110797,4"
"Candeias do Jamari (RO)";"2007";"120362,0"
"Candeias do Jamari (RO)";"2008";"138874,5"
"Candeias do Jamari (RO)";"2009";"166594,8"
"Candeias do Jamari (RO)";"2010";"228321,5"
"Candeias do Jamari (RO)";"2011";"253982,4"
"Candeias do Jamari (RO)";"2012";"267392,9"
"Candeias do Jamari (RO)";"2013";"280360,1"
"Candeias do Jamari (RO)";"2014";"317451,4"
"Candeias do Jamari (RO)";"2015";"399265,9"
"Candeias do Jamari (RO)";"2016";"399718,6"
"Castanheiras (RO)";"2002";"18452,7"
"Castanheiras (RO)";"2003";"24536,9"
"Castanheiras (RO)";"2004";"25834,3"
"Castanheiras (RO)";"2005";"28341,3"
"Castanheiras (RO)";"2006";"27916,0"
"Castanheiras (RO)";"2007";"28981,1"
"Castanheiras (RO)";"2008";"35845,1"
"Castanheiras (RO)";"2009";"36777,8"
"Castanheiras (RO)";"2010";"39936,3"
"Castanheiras (RO)";"2011";"44579,2"
"Castanheiras (RO)";"2012";"46867,7"
"Castanheiras (RO)";"2013";"53263,1"
"Castanheiras (RO)";"2014";"59749,9"
"Castanheiras (RO)";"2015";"66528,8"
"Castanheiras (RO)";"2016";"68669,8"
"Chupinguaia (RO)";"2002";"37622,1"
"Chupinguaia (RO)";"2003";"53817,6"
"Chupinguaia (RO)";"2004";"65399,4"
"Chupinguaia (RO)";"2005";"72245,9"
"Chupinguaia (RO)";"2006";"77157,3"
"Chupinguaia (RO)";"2007";"92199,5"
"Chupinguaia (RO)";"2008";"120566,4"
"Chupinguaia (RO)";"2009";"126926,4"
"Chupinguaia (RO)";"2010";"165716,4"
"Chupinguaia (RO)";"2011";"179981,1"
"Chupinguaia (RO)";"2012";"238955,4"
"Chupinguaia (RO)";"2013";"225345,5"
"Chupinguaia (RO)";"2014";"228352,6"
"Chupinguaia (RO)";"2015";"235664,1"
"Chupinguaia (RO)";"2016";"275042,6"
"Cujubim (RO)";"2002";"33917,5"
"Cujubim (RO)";"2003";"41085,1"
"Cujubim (RO)";"2004";"48780,7"
"Cujubim (RO)";"2005";"58407,4"
"Cujubim (RO)";"2006";"58711,3"
"Cujubim (RO)";"2007";"82707,5"
"Cujubim (RO)";"2008";"108396,8"
"Cujubim (RO)";"2009";"126005,9"
"Cujubim (RO)";"2010";"210217,8"
"Cujubim (RO)";"2011";"218790,1"
"Cujubim (RO)";"2012";"221003,1"
"Cujubim (RO)";"2013";"249222,7"
"Cujubim (RO)";"2014";"265664,5"
"Cujubim (RO)";"2015";"288030,9"
"Cujubim (RO)";"2016";"315311,7"
"Governador Jorge Teixeira (RO)";"2002";"43978,7"
"Governador Jorge Teixeira (RO)";"2003";"62246,1"
"Governador Jorge Teixeira (RO)";"2004";"70767,5"
"Governador Jorge Teixeira (RO)";"2005";"79524,3"
