year,area,loi
2018,78.43633773408803,RORAIMA
2018,930.5235305668858,AMAZONAS
2018,19.144327538303905,TOCANTINS
2018,1186.006133775173,RONDÔNIA
2018,1419.1605202745789,MATO GROSSO
2018,2589.2209390143826,PARÁ
2018,393.0968241906986,ACRE
2018,167.28847822780713,MARANHÃO
2017,1273.2798501261627,RONDÔNIA
2017,16.672673295276912,AMAPÁ
2017,121.70854522547441,RORAIMA
2017,994.2544550226277,AMAZONAS
2017,28.156130203562494,TOCANTINS
2017,1581.5399208132976,MATO GROSSO
2017,2546.2982921075254,PARÁ
2017,244.63234915095944,ACRE
2017,270.5559404408157,MARANHÃO
2016,12.180840240518897,AMAPÁ
2016,1191.098388283416,RONDÔNIA
2016,226.30690059903705,RORAIMA
2016,998.1404512203914,AMAZONAS
2016,53.43480882743743,TOCANTINS
2016,1405.2577657608922,MATO GROSSO
2016,2731.7160869639674,PARÁ
2016,362.9889674414774,ACRE
2016,245.95774521199309,MARANHÃO
2015,18.601609043612093,AMAPÁ
2015,152.17031123496542,RORAIMA
2015,681.7373928425216,AMAZONAS
2015,55.29847600841868,TOCANTINS
2015,958.3265404037277,RONDÔNIA
2015,1489.578664578743,MATO GROSSO
2015,2262.108609544172,PARÁ
2015,220.70359413256995,ACRE
2015,214.94257862972782,MARANHÃO
2014,758.7235294245763,RONDÔNIA
2014,28.87487991322167,AMAPÁ
2014,188.50791047586472,RORAIMA
2014,551.0723846618228,AMAZONAS
2014,45.00396430809086,TOCANTINS
2014,1104.6267021213762,MATO GROSSO
2014,1767.9727157559823,PARÁ
2014,343.91300301046346,ACRE
2014,284.4686479210976,MARANHÃO
2013,950.1970885772782,RONDÔNIA
2013,24.198780768114194,AMAPÁ
2013,147.37664330788087,RORAIMA
2013,479.60122038364,AMAZONAS
2013,77.05491734440824,TOCANTINS
2013,1105.9931857680788,MATO GROSSO
2013,2032.0287688398128,PARÁ
2013,197.81238706409516,ACRE
2013,293.20768970143797,MARANHÃO
